IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
168.138.215.188,8880,8880,FALSE,JP,Asia Pacific,Tokyo,85,3.01
151.145.68.104,80,80,FALSE,JP,Asia Pacific,Tokyo,71,2.95
131.186.47.223,2083,2083,TRUE,JP,Asia Pacific,Tokyo,107,2.95
132.145.121.125,2053,2053,TRUE,JP,Asia Pacific,Tokyo,100,2.94
140.238.36.216,2053,2053,TRUE,JP,Asia Pacific,Tokyo,132,2.92
155.248.163.133,2087,2087,TRUE,JP,Asia Pacific,Tokyo,104,2.88
132.145.120.118,2096,2096,TRUE,JP,Asia Pacific,Tokyo,98,2.86
141.147.166.95,2087,2087,TRUE,JP,Asia Pacific,Tokyo,194,2.81
152.70.107.26,2053,2053,TRUE,JP,Asia Pacific,Tokyo,86,2.77
158.101.142.103,2087,2087,TRUE,JP,Asia Pacific,Tokyo,112,2.77
131.186.34.244,2052,2052,FALSE,JP,Asia Pacific,Tokyo,91,2.75
141.147.167.44,8443,8443,TRUE,JP,Asia Pacific,Tokyo,125,2.75
158.179.180.233,2053,2053,TRUE,JP,Asia Pacific,Tokyo,184,2.72
158.179.191.14,2086,2086,FALSE,JP,Asia Pacific,Tokyo,81,2.7
168.138.198.53,2083,2083,TRUE,JP,Asia Pacific,Tokyo,196,2.68
158.179.180.109,2053,2053,TRUE,JP,Asia Pacific,Tokyo,79,2.67
132.145.120.103,2096,2096,TRUE,JP,Asia Pacific,Tokyo,69,2.64
158.179.191.14,2096,2096,TRUE,JP,Asia Pacific,Tokyo,79,2.64
192.18.159.129,443,0,TRUE,CA,North America,Toronto,227,4.39
143.47.182.56,2053,443,TRUE,NL,Europe,NLterdam,175,2.64
132.145.121.125,8080,8080,FALSE,JP,Asia Pacific,Tokyo,77,2.63
158.179.180.109,2052,2052,FALSE,JP,Asia Pacific,Tokyo,76,2.61
158.101.146.165,2087,2087,TRUE,JP,Asia Pacific,Tokyo,79,2.6
168.138.208.164,2096,2096,TRUE,JP,Asia Pacific,Tokyo,135,2.59
141.147.179.64,2095,2095,FALSE,JP,Asia Pacific,Tokyo,80,2.59
152.70.98.174,2083,2083,TRUE,JP,Asia Pacific,Tokyo,116,2.57
151.145.64.170,8443,8443,TRUE,JP,Asia Pacific,Tokyo,93,2.57
158.101.140.252,80,80,FALSE,JP,Asia Pacific,Tokyo,75,2.55
152.70.99.187,2087,2087,TRUE,JP,Asia Pacific,Tokyo,121,2.53
152.70.102.124,2087,2087,TRUE,HK,Asia Pacific,Hong Kong,160,2.52
131.186.34.11,2053,2053,TRUE,JP,Asia Pacific,Tokyo,71,2.48
168.138.200.155,2087,2087,TRUE,JP,Asia Pacific,Tokyo,145,2.47
152.70.102.124,2082,2082,FALSE,HK,Asia Pacific,Hong Kong,135,2.46
158.179.191.14,2052,2052,FALSE,JP,Asia Pacific,Tokyo,84,2.45
131.186.63.127,2083,2083,TRUE,JP,Asia Pacific,Tokyo,128,2.43
143.47.182.56,8443,443,TRUE,NL,Europe,NLterdam,192,2.4
168.138.211.131,2083,2083,TRUE,JP,Asia Pacific,Tokyo,174,2.38
140.238.62.12,8443,8443,TRUE,JP,Asia Pacific,Tokyo,154,2.37
158.101.148.221,2095,2095,FALSE,HK,Asia Pacific,Hong Kong,143,2.36
158.179.191.14,80,80,FALSE,JP,Asia Pacific,Tokyo,71,2.36
158.101.140.255,2087,2087,TRUE,JP,Asia Pacific,Tokyo,99,2.35
140.238.35.195,2083,2083,TRUE,JP,Asia Pacific,Tokyo,95,2.33
168.138.70.29,443,443,TRUE,CA,North America,Toronto,254,3.45
168.138.215.188,2083,2083,TRUE,JP,Asia Pacific,Tokyo,146,2.27
152.70.111.251,2082,2082,FALSE,JP,Asia Pacific,Tokyo,76,2.27
168.138.196.164,2086,2086,FALSE,HK,Asia Pacific,Hong Kong,137,2.27
158.179.186.123,2086,2086,FALSE,HK,Asia Pacific,Hong Kong,121,2.24
155.248.162.160,80,80,FALSE,JP,Asia Pacific,Tokyo,93,2.24
132.145.121.242,2096,2096,TRUE,HK,Asia Pacific,Hong Kong,171,2.23
158.101.140.252,2086,2086,FALSE,JP,Asia Pacific,Tokyo,70,2.21
152.70.111.251,8880,8880,FALSE,JP,Asia Pacific,Tokyo,93,2.21
