IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
140.238.41.253,8443,8443,TRUE,JP,Asia Pacific,Tokyo,69,9.6
158.101.70.155,2096,2096,TRUE,JP,Asia Pacific,Tokyo,136,9.6
158.180.22.82,443,443,TRUE,DE,Europe,DEnkfurt,152,9.6
140.238.39.33,2086,2086,FALSE,JP,Asia Pacific,Tokyo,84,9.59
141.147.191.211,2096,2096,TRUE,JP,Asia Pacific,Tokyo,85,9.59
132.145.123.14,2096,2096,TRUE,JP,Asia Pacific,Tokyo,73,9.59
140.238.41.167,2083,2083,TRUE,JP,Asia Pacific,Tokyo,87,9.59
158.101.133.129,2052,2052,FALSE,JP,Asia Pacific,Tokyo,84,9.58
168.138.198.202,2087,2087,TRUE,JP,Asia Pacific,Tokyo,110,9.58
151.145.66.219,2083,2083,TRUE,JP,Asia Pacific,Tokyo,170,9.58
158.101.159.212,8443,8443,TRUE,JP,Asia Pacific,Tokyo,82,9.58
131.186.60.162,80,80,FALSE,JP,Asia Pacific,Tokyo,84,9.56
131.186.34.11,80,80,FALSE,JP,Asia Pacific,Tokyo,77,9.56
140.238.32.238,2086,2086,FALSE,JP,Asia Pacific,Tokyo,74,9.56
140.238.35.195,2086,2086,FALSE,JP,Asia Pacific,Tokyo,71,9.56
151.145.65.8,2095,2095,FALSE,JP,Asia Pacific,Tokyo,87,9.55
140.238.54.166,2052,2052,FALSE,JP,Asia Pacific,Tokyo,80,9.55
146.235.210.182,2053,443,TRUE,US,North America,San Jose,175,9.55
158.101.155.158,2087,2087,TRUE,JP,Asia Pacific,Tokyo,99,9.55
140.238.38.245,2095,2095,FALSE,JP,Asia Pacific,Tokyo,94,9.55
141.148.241.228,443,443,TRUE,DE,Europe,DEnkfurt,173,9.55
158.101.137.96,2052,2052,FALSE,JP,Asia Pacific,Tokyo,84,9.54
132.145.124.198,2083,2083,TRUE,JP,Asia Pacific,Tokyo,72,9.54
158.180.12.143,443,443,TRUE,DE,Europe,DEnkfurt,189,9.53
140.238.58.42,2087,2087,TRUE,JP,Asia Pacific,Tokyo,80,9.53
131.186.63.35,2086,2086,FALSE,JP,Asia Pacific,Tokyo,81,9.53
140.238.54.182,8443,8443,TRUE,JP,Asia Pacific,Tokyo,143,9.53
158.101.65.24,2052,2052,FALSE,JP,Asia Pacific,Tokyo,69,9.53
138.3.216.67,2083,2083,TRUE,JP,Asia Pacific,Tokyo,94,9.52
158.101.68.100,8443,8443,TRUE,JP,Asia Pacific,Tokyo,76,9.51
